name,album,artist,release_date,length,popularity,key,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
唱,唱,Ado,,189772,81,10,0,0.616,0.172,0.975,1.62e-06,0.143,-0.425,0.208,132.054,4,0.742
Look What You Made Me Do,reputation,Taylor Swift,,211853,87,9,0,0.766,0.204,0.709,1.41e-05,0.126,-6.471,0.123,128.07,4,0.506
